"k","rmse_mean","rmse_se","rmse_min","ce_mean","ce_se","ce_min"
1,0.380554889014897,0,0.380554889014897,0.531062030335239,4.10932521862012e-16,0.531062030335235
2,0.372327209559179,2.68130875940041e-06,0.372312399481484,0.509366345278922,3.02115037647006e-05,0.509204164645917
3,0.369834949873438,5.82370569657526e-07,0.369832142909782,0.502949857306673,9.11770695977194e-06,0.502900620514417
4,0.367870454736823,1.39931556772769e-05,0.367827387104067,0.498807803776087,7.10050735859514e-05,0.498506877205239
5,0.367026328044296,3.01169738972205e-05,0.36690027235244,0.497608152498934,0.000118559299483516,0.496943158353888
6,0.366649489496868,0.000118267279270873,0.366090876139647,0.497660026704711,0.000367926242139784,0.49576054104271
7,0.366798387242666,0.000635215759494627,0.365207788187762,0.498872537390592,0.00173419102784117,0.494387614253708
8,0.366991892527519,0.00114635870878501,0.364079040504496,0.499524842879098,0.00301345803261025,0.49153298834325
9,0.367262146671425,0.000927964734142865,0.363155966074215,0.50057646840994,0.00251526480009749,0.489182383126516
10,0.367719440950221,0.000434743891832728,0.366167231027587,0.502102480471934,0.00115569983502562,0.49752192071895
11,0.36641861340117,0.000392602262959273,0.365182810191704,0.498936664121949,0.00106255932962218,0.495407410057588
12,0.366536024660661,0.000774718501336884,0.364518439636485,0.499626742438634,0.00210206988198852,0.4943236471874
13,0.364246780489625,0.000230656509598167,0.363089690933384,0.493670101946872,0.000621786697598419,0.490709136353093
14,0.364011580106118,0.000366569562997443,0.361935680938974,0.493366202034476,0.00095950118555289,0.487810201414038
15,0.362635680202077,0.000293337353162436,0.361534926060796,0.490066450932019,0.000813098235750492,0.487072944281438
16,0.361926662203738,0.000225342581355208,0.361123890433444,0.488577635940953,0.000608481361284415,0.486352226156669
17,0.361229176952485,0.000236317029339127,0.36041348308276,0.487145325831463,0.00063578245963071,0.485072127557202
18,0.360228249618335,0.000174026451513942,0.35944444160008,0.484838643953952,0.000459549348606674,0.482830359037148
19,0.359665831259986,0.000180125243674682,0.358954615941444,0.483670569941642,0.000454007510663818,0.48196888296469
20,0.359200101022782,0.000117019014717574,0.358693996615517,0.482790253910355,0.000309157248348501,0.48157123997688
21,0.35845845653049,9.76555765829948e-05,0.357859370177386,0.481206621121146,0.000265922495700287,0.479699644848617
22,0.358491860731456,0.000117776695136885,0.357958427288824,0.481611867562415,0.000306521637603852,0.480368027418611
23,0.357926814961115,0.000110323387523633,0.357427962483685,0.480503843709515,0.000298514510581107,0.479115162572937
24,0.357650470572831,0.000111185289002028,0.357217272826576,0.480068305791102,0.000279352725675277,0.478950727438964
25,0.357316470089438,0.00012045901663521,0.356951662170204,0.479462523277242,0.00029695878074578,0.478512084015312
26,0.356672287008597,0.000131291429478899,0.356175590613954,0.478162232881161,0.000353679660077713,0.476856841130611
27,0.356429528146186,8.29637004102245e-05,0.356101968328984,0.477825784763758,0.000207157596064542,0.477022414931076
28,0.356096969045189,0.000121861043939648,0.355428839113566,0.477295671210753,0.000316947698136493,0.475500923200606
29,0.355753812197498,0.000125677006226704,0.355328103316536,0.476671604907763,0.000317393068450841,0.475586595571656
30,0.355353686667037,0.0001075757846615,0.354761678115442,0.475886909467247,0.000270997803575202,0.474383453744426
31,0.355448841956054,0.000149117063218907,0.354820986545093,0.476405348377212,0.000366201111008416,0.474848156504643
32,0.355243906299787,0.000166361630739598,0.354628873941114,0.476040837776288,0.000412050774400143,0.474528983027669
33,0.354887664891132,9.65831722811751e-05,0.354434078423702,0.475389384542582,0.000243153698962117,0.47424808982836
34,0.354795229113088,0.000163157186430177,0.354183077880938,0.475395111547329,0.000408802124296103,0.473933795306453
35,0.35442998691701,0.000114765218024065,0.353894002568846,0.474772615966032,0.000288216630954779,0.473497996205623
36,0.35425724527696,0.000111306015911049,0.353651825245509,0.474486660522117,0.000265906079898721,0.473016912943141
37,0.354110935749604,0.000118124737957072,0.353711321923025,0.474339506388597,0.00029682649114672,0.473292511810728
38,0.354243056105893,0.000114551583782344,0.35366721625017,0.474856151660594,0.000289385461892931,0.473366941160374
39,0.353704474914804,0.000124759315750652,0.352917319604974,0.473700338837561,0.000304996833660256,0.47172604304717
40,0.353654669863167,9.89703792772628e-05,0.353281611524318,0.473737100271094,0.000245697344777632,0.472840194776977
